title

Miso & Soy Steak
with Roasted Fall Vegetables

Spicy Chicken Quesadillas
with Beet & Orange Salad

One-Pan Spicy Wild Alaskan Pollock
with Broccoli & Jasmine Rice

Cabbage & Sage Pasta
with Roasted Acorn Squash & Hot Honey

Mushroom & Cheese Quiches
with Oregano-Roasted Potato

Roasted Squash Curry
with Crispy Mung Beans & Jasmine Rice

Brown Butter & Caper Chicken
with Roasted Vegetables

Fresh Fettuccine & Prosciutto
with Kale & Tomato Sauce

Seared Steaks & Garlic Butter
with Oven Fries & Salad

Turkey Ramen
with Bok Choy & Furikake

Sheet Pan Cajun Catfish
with Collard Greens & Sweet Potato Wedges

Yellow Tomato & Basil Pesto Pizza
with Kale Caesar Salad
